date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-10,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,552283,megawatthours
2025-05-10,CISO,California Independent System Operator,NG,Net generation,Central,Central,554236,megawatthours
2025-05-10,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,555650,megawatthours
2025-05-10,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,553317,megawatthours
2025-05-10,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,552283,megawatthours
2025-05-10,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-82700,megawatthours
2025-05-10,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-80947,megawatthours
2025-05-10,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-80105,megawatthours
2025-05-10,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-81586,megawatthours
2025-05-10,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-82700,megawatthours
2025-05-11,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,572294,megawatthours
2025-05-11,CISO,California Independent System Operator,D,Demand,Central,Central,578580,megawatthours
2025-05-11,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,582614,megawatthours
2025-05-11,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,575136,megawatthours
2025-05-11,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,572294,megawatthours
2025-05-11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,541468,megawatthours
2025-05-11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,546105,megawatthours
2025-05-11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,548705,megawatthours
2025-05-11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,543820,megawatthours
2025-05-11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,541468,megawatthours
2025-05-11,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,518739,megawatthours
2025-05-11,CISO,California Independent System Operator,NG,Net generation,Central,Central,521966,megawatthours
2025-05-11,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,524891,megawatthours
2025-05-11,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,519963,megawatthours
2025-05-11,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,518739,megawatthours
2025-05-11,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-53593,megawatthours
2025-05-11,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-57013,megawatthours
2025-05-11,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-58299,megawatthours
2025-05-11,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-55481,megawatthours
2025-05-11,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-53593,megawatthours
2025-05-12,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,586508,megawatthours
2025-05-12,CISO,California Independent System Operator,D,Demand,Central,Central,587338,megawatthours
2025-05-12,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,588212,megawatthours
2025-05-12,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,586773,megawatthours
2025-05-12,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,586508,megawatthours
2025-05-12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,560418,megawatthours
2025-05-12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,561094,megawatthours
2025-05-12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,561543,megawatthours
2025-05-12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,560636,megawatthours
2025-05-12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,560418,megawatthours
2025-05-12,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,518920,megawatthours
2025-05-12,CISO,California Independent System Operator,NG,Net generation,Central,Central,521396,megawatthours
2025-05-12,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,522686,megawatthours
2025-05-12,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,520134,megawatthours
2025-05-12,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,518920,megawatthours
2025-05-12,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-74477,megawatthours
2025-05-12,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-71355,megawatthours
2025-05-12,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-70234,megawatthours
2025-05-12,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-72839,megawatthours
2025-05-12,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-74477,megawatthours
2025-05-13,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,571655,megawatthours
2025-05-13,CISO,California Independent System Operator,D,Demand,Central,Central,572275,megawatthours
2025-05-13,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,572496,megawatthours
2025-05-13,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,572035,megawatthours
2025-05-13,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,571655,megawatthours
2025-05-13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,521840,megawatthours
2025-05-13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,523551,megawatthours
2025-05-13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,524698,megawatthours
2025-05-13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,522575,megawatthours
2025-05-13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,521840,megawatthours
2025-05-13,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,493642,megawatthours
2025-05-13,CISO,California Independent System Operator,NG,Net generation,Central,Central,497423,megawatthours
2025-05-13,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,499050,megawatthours
2025-05-13,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,495857,megawatthours
2025-05-13,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,493642,megawatthours
2025-05-13,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-90949,megawatthours
2025-05-13,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-87385,megawatthours
2025-05-13,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-86202,megawatthours
2025-05-13,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-89054,megawatthours
2025-05-13,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-90949,megawatthours
2025-05-14,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,569447,megawatthours
2025-05-14,CISO,California Independent System Operator,D,Demand,Central,Central,567925,megawatthours
2025-05-14,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,567392,megawatthours
2025-05-14,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,568452,megawatthours
2025-05-14,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,569447,megawatthours
2025-05-14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,521499,megawatthours
2025-05-14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,521040,megawatthours
2025-05-14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,520683,megawatthours
2025-05-14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,521319,megawatthours
2025-05-14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,521499,megawatthours
2025-05-14,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,462356,megawatthours
2025-05-14,CISO,California Independent System Operator,NG,Net generation,Central,Central,463392,megawatthours
2025-05-14,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,463935,megawatthours
2025-05-14,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,463049,megawatthours
2025-05-14,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,462356,megawatthours
2025-05-14,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-106262,megawatthours
2025-05-14,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-104743,megawatthours
2025-05-14,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-104290,megawatthours
2025-05-14,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-105794,megawatthours
2025-05-14,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-106262,megawatthours
2025-05-15,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,583063,megawatthours
2025-05-15,CISO,California Independent System Operator,D,Demand,Central,Central,581940,megawatthours
2025-05-15,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,581045,megawatthours
2025-05-15,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,582706,megawatthours
2025-05-15,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,583063,megawatthours
2025-05-15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,531861,megawatthours
2025-05-15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,530569,megawatthours
2025-05-15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,529765,megawatthours
2025-05-15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,531419,megawatthours
2025-05-15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,531861,megawatthours
2025-05-15,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,463905,megawatthours
2025-05-15,CISO,California Independent System Operator,NG,Net generation,Central,Central,461288,megawatthours
2025-05-15,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,458858,megawatthours
2025-05-15,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,462767,megawatthours
2025-05-15,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,463905,megawatthours
2025-05-15,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-117300,megawatthours
2025-05-15,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-118697,megawatthours
2025-05-15,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-119353,megawatthours
2025-05-15,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-117972,megawatthours
2025-05-15,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-117300,megawatthours
2025-05-16,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,591749,megawatthours
2025-05-16,CISO,California Independent System Operator,D,Demand,Central,Central,592407,megawatthours
2025-05-16,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,592798,megawatthours
2025-05-16,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,592090,megawatthours
2025-05-16,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,591749,megawatthours
2025-05-16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,531749,megawatthours
2025-05-16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,531499,megawatthours
2025-05-16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,531744,megawatthours
2025-05-16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,531417,megawatthours
2025-05-16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,531749,megawatthours
2025-05-16,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,511857,megawatthours
2025-05-16,CISO,California Independent System Operator,NG,Net generation,Central,Central,507291,megawatthours
2025-05-16,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,505336,megawatthours
2025-05-16,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,509029,megawatthours
2025-05-16,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,511857,megawatthours
2025-05-16,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-84202,megawatthours
2025-05-16,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-88876,megawatthours
2025-05-16,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-90437,megawatthours
2025-05-16,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-86313,megawatthours
2025-05-16,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-84202,megawatthours
2025-05-17,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,540939,megawatthours
2025-05-17,CISO,California Independent System Operator,D,Demand,Central,Central,545800,megawatthours
2025-05-17,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,548725,megawatthours
2025-05-17,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,543103,megawatthours
2025-05-17,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,540939,megawatthours
2025-05-17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,501649,megawatthours
2025-05-17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,504388,megawatthours
2025-05-17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,506387,megawatthours
2025-05-17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,502932,megawatthours
2025-05-17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,501649,megawatthours
2025-05-17,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,488868,megawatthours
2025-05-17,CISO,California Independent System Operator,NG,Net generation,Central,Central,496214,megawatthours
2025-05-17,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,500034,megawatthours
2025-05-17,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,492916,megawatthours
2025-05-17,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,488868,megawatthours
2025-05-17,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-61871,megawatthours
2025-05-17,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-59151,megawatthours
2025-05-17,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-58808,megawatthours
2025-05-17,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-60902,megawatthours
2025-05-17,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-61871,megawatthours
2025-05-18,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,513635,megawatthours
2025-05-18,CISO,California Independent System Operator,D,Demand,Central,Central,512350,megawatthours
2025-05-18,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,511550,megawatthours
2025-05-18,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,513238,megawatthours
2025-05-18,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,513635,megawatthours
2025-05-18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,466819,megawatthours
2025-05-18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,467063,megawatthours
2025-05-18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,466769,megawatthours
2025-05-18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,466894,megawatthours
